Item Name,Item URL,Item URI,Category,Subcategory,Publisher,Attribute 1 ,Value 1,Schema URI 1,Attribute 2,Value 2,Schema URI 2,Attribute 3,Value 3,Schema URI 3,Attribute 4,Value 4,URI 4,Attribute 5,Value 5,URI 5
The Deal,https://blackwells.co.uk/bookshop/product/The-Deal-by-Elle-Kennedy/9780349447155,http://example.org/webshop/the-deal-9780349447155,Book,Romance,"Little, Brown",name,The Deal,https://schema.org/name,author,Elle Kennedy,https://schema.org/author,price,"27,14",https://schema.org/price,numberOfPages,389,https://schema.org/numberOfPages,datePublished,2025-11-13,https://schema.org/datePublished
Burn of the Everflame ,https://blackwells.co.uk/bookshop/product/Burn-of-the-Everflame-by-Penn-Cole/9781035432523,http://example.org/webshop/burn-of-the-flame-9781035432523,Book,Romance,Headline Publishing Group,name,Burn of the Everflame,https://schema.org/name,author,Penn Cole,https://schema.org/author,price,"19,66",https://schema.org/price,numberOfPages,848,https://schema.org/numberOfPages,datePublished,2026-09-08,https://schema.org/datePublished
The Poison Daughter,https://blackwells.co.uk/bookshop/product/The-Poison-Daughter-by-Sheila-Masterson/9781911760764,http://example.org/webshop/the-poison-daughter-9781911760764,Book,Romance,Transworld,name,The Poison Daughter,https://schema.org/name,author,Sheila Masterson,https://schema.org/author,price,"29,36",https://schema.org/price,numberOfPages,656,https://schema.org/numberOfPages,datePublished,2026-08-18,https://schema.org/datePublished
The Girls,https://blackwells.co.uk/bookshop/product/The-Girls-by-John-Bowen/9781529970982,http://example.org/webshop/the-girls-9781529970982,Book,Romance,Random House,name,The Girls,https://schema.org/name,author,John Bowen,https://schema.org/author,price,"18,4",https://schema.org/price,numberOfPages,240,https://schema.org/numberOfPages,datePublished,2026-06-04,https://schema.org/datePublished
The Ballad of Falling Dragons,https://blackwells.co.uk/bookshop/product/The-Ballad-of-Falling-Dragons-by-Sarah-A-Parker/9780008838126,http://example.org/webshop/the-ballad-of-falling-dragons-9780008838126,Book,Romance,HarperCollins Publishers,name,The Ballad of Falling Dragons,https://schema.org/name,author,Sarah A. Parker,https://schema.org/author,price,"31,75",https://schema.org/price,numberOfPages,576,https://schema.org/numberOfPages,datePublished,2026-11-05,https://schema.org/datePublished
Pink Ink,https://blackwells.co.uk/bookshop/product/Pink-Ink-by-Avina-St-Graves/9781668218983,http://example.org/webshop/pink-ink-9781668218983,Book,Romance,Gallery Books,name,Pink Ink,https://schema.org/name,author,Avina St. Graves,https://schema.org/author,price,"22,30",https://schema.org/price,numberOfPages,400,https://schema.org/numberOfPages,datePublished,2026-08-13,https://schema.org/datePublished
Twisted Lies,https://blackwells.co.uk/bookshop/product/Twisted-Lies-by-Ana-Huang/9780349448411,http://example.org/webshop/twisted-lies-9780349448411,Book,Romance,"Little, Brown",name,Twisted Lies,https://schema.org/name,author,Ana Huang,https://schema.org/author,price,"28,31",https://schema.org/price,numberOfPages,554,https://schema.org/numberOfPages,datePublished,2026-07-30,https://schema.org/datePublished
Daggermouth,https://blackwells.co.uk/bookshop/product/Daggermouth-by-H-M-Wolfe/9798347122363,http://example.org/webshop/daggermouth-9798347122363,Book,Romance,Scarlett Press,name,Daggermouth,https://schema.org/name,author,H. M. Wolfe,https://schema.org/author,price,"33,30",https://schema.org/price,numberOfPages,400,https://schema.org/numberOfPages,datePublished,2026-07-28,https://schema.org/datePublished
Riftborne,https://blackwells.co.uk/bookshop/product/Riftborne-by-Bree-Grenwich-Parker-Lennox/9780241818657,http://example.org/webshop/riftborne-9780241818657,Book,Romance,Penguin Random House Children's UK,name,Riftborne,https://schema.org/name,author,"Bree Grenwich, Parker Lennox",https://schema.org/author,price,"27,45",https://schema.org/price,numberOfPages,432,https://schema.org/numberOfPages,datePublished,2026-04-23,https://schema.org/datePublished
Smoke,https://blackwells.co.uk/bookshop/product/Smoke-by-Ivan-Sergeevich-Turgenev-author-Donald-Rayfield-translator/9798896230441,http://example.org/webshop/smoke-9798896230441,Book,Romance,New York Review Books,name,Smoke,https://schema.org/name,author,Ivan Sergeevich Turgenev,https://schema.org/author,price,"23,43",https://schema.org/price,numberOfPages,272,https://schema.org/numberOfPages,datePublished,2026-07-14,https://schema.org/datePublished
It,https://blackwells.co.uk/bookshop/product/IT-by-Stephen-King/9781399761550,http://example.org/webshop/it-99781399761550,Book,Horror,Hodder & Stoughton,name,It,https://schema.org/name,author,Stephen King,https://schema.org/author,price,"35,15",https://schema.org/price,numberOfPages,1088,https://schema.org/numberOfPages,datePublished,2026-09-03,https://schema.org/datePublished
Fawn,https://blackwells.co.uk/bookshop/product/Fawn-by-C-N-Vair/9780857508805,http://example.org/webshop/fawn-9780857508805,Book,Horror,Transworld,name,Fawn,https://schema.org/name,author,C. N. Vair,https://schema.org/author,price,"27,40",https://schema.org/price,numberOfPages,368,https://schema.org/numberOfPages,datePublished,2026-08-27,https://schema.org/datePublished
Solace House,https://blackwells.co.uk/bookshop/product/Solace-House-by-Will-Maclean/2100000300747,http://example.org/webshop/solace-house-2100000300747,Book,Horror,Atlantic Books,name,Solace House,https://schema.org/name,author,Will Maclean,https://schema.org/author,price,"23,30",https://schema.org/price,numberOfPages,512,https://schema.org/numberOfPages,datePublished,2026-05-07,https://schema.org/datePublished
